tce,url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu
0.08045518,0.60042,10.8727,6.853754,3.313395,0.219620057,2.9607,0.01153925,0.135,135.79,0.029540122,0.17307,95.48683697,0.15,64.74577466
0.07786454,0.61021,11.5754,6.917768,3.367595,0.275306872,3.0989,0.01148132,0.074,143.26,0.024458161,0.186295,92.11420781,0.39,48.68357734
0.07471745,0.62008,12.2059,6.999311,3.591799,0.282706181,3.0046,0.01155595,0.068,170.26,0.023036252,0.19605,129.3138679,0.12,44.28451654
0.07685444,0.62938,12.9898,7.047767,4.100806,0.294298633,3.2671,0.01366876,0.085,185.974732,0.021973047,0.185615,206.6387024,0.1,95.03284876
0.07504521,0.63967,13.2005,7.066987,3.895526,0.259442121,3.6877,0.01615781,0.072,214.5716491,0.029529235,0.176035,277.8131221,0.02,290.3845297
0.07957924,0.6562,13.5138,7.067089,3.467179,0.274555563,3.8122,0.01762812,0.071,226.5638396,0.039165201,0.125985,363.3586174,0.07,512.8383186
0.0875377,0.72581,14.0088,7.052197,3.587067,0.284690235,4.3982,0.0183561,0.083,236.476692,0.031640996,0.07003,390.3879721,17.23,687.6163291
0.08658084,0.6161,5.91364,6.796794,2.657513,0.135771565,3.85,0.01902306,0.041,247.5683799,0.04078068,0.18134,125.7,0,472.2192815
0.08899844,0.6304,6.53079,6.804012,2.679467,0.146868853,4.3702,0.01980596,0.032,54.3,0.025535159,0.20855,124.3355367,0,96.61290641
0.09110357,0.64009,7.33347,6.81863,2.793674,0.141311259,4.4251,0.02062729,0.039,86.85,0.021599946,0.25038,106.2334968,0,104.5081246
0.08628752,0.64959,8.32659,6.853414,2.904357,0.14094289,4.4382,0.02005377,0.07,127.89,0.019492891,0.2705,95.48683697,0.15,64.74577466
0.07418667,0.65861,8.412,6.932137,3.198245,0.167869451,4.2688,0.01819869,0.044,145.8,0.021353334,0.2905,92.11420781,0.39,48.68357734
0.06987429,0.66675,9.00954,7.00246,3.425691,0.153694237,4.4461,0.01801646,0.116,170.46,0.013790042,0.30823,129.3138679,0.12,44.28451654
0.07439929,0.67564,9.04823,7.028097,4.35028,0.163685117,4.779,0.02086907,0.113,192.4242821,0.012398548,0.213235,206.6387024,0.1,95.03284876
0.08108046,0.68486,9.4921,7.043572,4.438839,0.163555924,5.1976,0.02665562,0.065,217.0263411,0.00963303,0.11501,277.8131221,0.02,290.3845297
0.08547722,0.6948,10.3107,7.062661,3.771729,0.181131655,5.0775,0.02986963,0.017,224.0818922,0.014330737,0.01936,363.3586174,0.07,512.8383186
0.08443292,0.71212,11.2296,7.072929,3.988662,0.202089607,5.6245,0.02908883,0.007,236.7290207,0.020275936,0.01936,390.3879721,17.23,687.6163291
0.04387307,0.4343,8.11449,6.51932,1.891481,0.147710487,3.6425,0.007450128,0.106,247.7483742,0.041278278,0.20716,125.7,0,472.2192815
0.04189959,0.45313,8.26307,6.523677,1.911235,0.150533264,3.9523,0.006877254,0.086,42.03,0.054586616,0.243225,124.3355367,0,96.61290641
0.03902014,0.4687,8.51404,6.54199,2.002749,0.187445641,3.9474,0.005882188,0.107,74.19,0.048969495,0.295955,106.2334968,0,104.5081246
0.0374801,0.4846,9.18964,6.613148,2.150159,0.180296588,3.9196,0.005379929,0.259,118.7,0.031516921,0.32832,95.48683697,0.15,64.74577466
0.03541042,0.5002,9.63415,6.728149,2.441469,0.200779694,3.5029,0.005012806,0.12,132.94,0.00816787,0.3976,92.11420781,0.39,48.68357734
0.03448558,0.51531,10.206,6.789108,2.634765,0.18103394,3.7063,0.004654516,0.133,165.82,0.004030928,0.4631,129.3138679,0.12,44.28451654
0.03457833,0.52927,11.0401,6.779842,6.073333,0.182737406,4.2887,0.01174113,0.13,192.2182923,0.003544358,0.42986,206.6387024,0.1,95.03284876
0.03523815,0.53964,11.8406,6.772195,6.053267,0.194454403,4.754,0.02062382,0.088,217.6227438,0.004517166,0.39035,277.8131221,0.02,290.3845297
0.04384775,0.5488,12.813,6.807034,2.721517,0.213425045,4.7219,0.02345652,0.082,222.8201064,0.007458537,0.40195,363.3586174,0.07,512.8383186
0.05137949,0.56604,13.3221,6.837094,2.870766,0.233694001,5.3778,0.02456437,0.088,236.0175644,0.005181877,0.4079,390.3879721,17.23,687.6163291
0.02076624,0.5275,8.65802,6.543818,2.381947,0.122908186,3.9205,0.004440495,0.058,263.1998129,0.081921311,0.21799,125.7,0,472.2192815
0.02252917,0.54481,9.24666,6.554609,2.42838,0.128355763,4.4257,0.004567426,0.046,56.57,0.076971218,0.23787,124.3355367,0,96.61290641
0.02481331,0.55519,9.83733,6.584404,2.500381,0.155052282,4.494,0.004628717,0.06,91.06,0.055128259,0.270875,106.2334968,0,104.5081246
0.02359091,0.56489,10.4023,6.636859,2.578252,0.154461028,4.4943,0.004027001,0.124,126.98,0.065106592,0.284145,95.48683697,0.15,64.74577466
0.02210903,0.57421,10.8148,6.689047,2.647674,0.173036991,4.4994,0.003601245,0.071,140.78,0.053552944,0.27052,92.11420781,0.39,48.68357734
0.02227405,0.58342,11.493,6.732287,2.769855,0.162006595,4.5271,0.003688946,0.211,173.43,0.03764938,0.228435,129.3138679,0.12,44.28451654
